DPM,,HGCROC,Channel,CMB,Quadbar,Bar,Plane,AllBar,Elink,End
0,0,0,0,1,1,1,1,1,0,0
0,1,0,1,1,1,2,1,2,0,0
0,2,0,2,1,1,3,1,3,0,0
0,3,0,3,1,1,4,1,4,0,0
0,4,0,4,2,1,1,1,1,0,1
0,5,0,5,2,1,2,1,2,0,1
0,6,0,6,2,1,3,1,3,0,1
0,7,0,7,2,1,4,1,4,0,1
0,8,0,9,3,2,1,1,5,0,0
0,9,0,10,3,2,2,1,6,0,0
0,10,0,11,3,2,3,1,7,0,0
0,11,0,12,3,2,4,1,8,0,0
0,12,0,13,4,2,1,1,5,0,1
0,13,0,14,4,2,2,1,6,0,1
0,14,0,15,4,2,3,1,7,0,1
0,15,0,16,4,2,4,1,8,0,1
0,16,0,18,5,1,4,2,1,0,0
0,17,0,19,5,1,3,2,2,0,0
0,18,0,20,5,1,2,2,3,0,0
0,19,0,21,5,1,1,2,4,0,0
0,20,0,22,6,1,4,2,1,0,1
0,21,0,23,6,1,3,2,2,0,1
0,22,0,24,6,1,2,2,3,0,1
0,23,0,25,6,1,1,2,4,0,1
0,24,0,27,7,2,4,2,5,0,0
0,25,0,28,7,2,3,2,6,0,0
0,26,0,29,7,2,2,2,7,0,0
0,27,0,30,7,2,1,2,8,0,0
0,28,0,31,8,2,4,2,5,0,1
0,29,0,32,8,2,3,2,6,0,1
0,30,0,33,8,2,2,2,7,0,1
0,31,0,34,8,2,1,2,8,0,1
0,32,0,36,9,1,1,3,1,1,0
0,33,0,37,9,1,2,3,2,1,0
0,34,0,38,9,1,3,3,3,1,0
0,35,0,39,9,1,4,3,4,1,0
0,36,0,40,10,1,1,3,1,1,1
0,37,0,41,10,1,2,3,2,1,1
0,38,0,42,10,1,3,3,3,1,1
0,39,0,43,10,1,4,3,4,1,1
0,40,0,45,11,2,1,3,5,1,0
0,41,0,46,11,2,2,3,6,1,0
0,42,0,47,11,2,3,3,7,1,0
0,43,0,48,11,2,4,3,8,1,0
0,44,0,49,12,2,1,3,5,1,1
0,45,0,50,12,2,2,3,6,1,1
0,46,0,51,12,2,3,3,7,1,1
0,47,0,52,12,2,4,3,8,1,1
0,48,0,54,13,1,1,4,1,1,0
0,49,0,55,13,1,2,4,2,1,0
0,50,0,56,13,1,3,4,3,1,0
0,51,0,57,13,1,4,4,4,1,0
0,52,0,58,14,1,1,4,1,1,1
0,53,0,59,14,1,2,4,2,1,1
0,54,0,60,14,1,3,4,3,1,1
0,55,0,61,14,1,4,4,4,1,1
0,56,0,63,15,2,1,4,5,1,0
0,57,0,64,15,2,2,4,6,1,0
0,58,0,65,15,2,3,4,7,1,0
0,59,0,66,15,2,4,4,8,1,0
0,60,0,67,16,2,1,4,5,1,1
0,61,0,68,16,2,2,4,6,1,1
0,62,0,69,16,2,3,4,7,1,1
0,63,0,70,16,2,4,4,8,1,1
0,64,1,0,1,1,1,5,1,2,0
0,65,1,1,1,1,2,5,2,2,0
0,66,1,2,1,1,3,5,3,2,0
0,67,1,3,1,1,4,5,4,2,0
0,68,1,4,2,1,1,5,1,2,1
0,69,1,5,2,1,2,5,2,2,1
0,70,1,6,2,1,3,5,3,2,1
0,71,1,7,2,1,4,5,4,2,1
0,72,1,9,3,2,1,5,5,2,0
0,73,1,10,3,2,2,5,6,2,0
0,74,1,11,3,2,3,5,7,2,0
0,75,1,12,3,2,4,5,8,2,0
0,76,1,13,4,2,1,5,5,2,1
0,77,1,14,4,2,2,5,6,2,1
0,78,1,15,4,2,3,5,7,2,1
0,79,1,16,4,2,4,5,8,2,1
0,80,1,18,5,1,1,6,1,2,0
0,81,1,19,5,1,2,6,2,2,0
0,82,1,20,5,1,3,6,3,2,0
0,83,1,21,5,1,4,6,4,2,0
0,84,1,22,6,1,1,6,1,2,1
0,85,1,23,6,1,2,6,2,2,1
0,86,1,24,6,1,3,6,3,2,1
0,87,1,25,6,1,4,6,4,2,1
0,88,1,27,7,2,1,6,5,2,0
0,89,1,28,7,2,2,6,6,2,0
0,90,1,29,7,2,3,6,7,2,0
0,91,1,30,7,2,4,6,8,2,0
0,92,1,31,8,2,1,6,5,2,1
0,93,1,32,8,2,2,6,6,2,1
0,94,1,33,8,2,3,6,7,2,1
0,95,1,34,8,2,4,6,8,2,1
0,96,1,36,9,1,1,7,1,3,0
0,97,1,37,9,1,2,7,2,3,0
0,98,1,38,9,1,3,7,3,3,0
0,99,1,39,9,1,4,7,4,3,0
0,100,1,40,10,1,1,7,1,3,1
0,101,1,41,10,1,2,7,2,3,1
0,102,1,42,10,1,3,7,3,3,1
0,103,1,43,10,1,4,7,4,3,1
0,104,1,45,11,2,1,7,5,3,0
0,105,1,46,11,2,2,7,6,3,0
0,106,1,47,11,2,3,7,7,3,0
0,107,1,48,11,2,4,7,8,3,0
0,108,1,49,12,2,1,7,5,3,1
0,109,1,50,12,2,2,7,6,3,1
0,110,1,51,12,2,3,7,7,3,1
0,111,1,52,12,2,4,7,8,3,1
0,112,1,54,13,1,1,8,1,3,0
0,113,1,55,13,1,2,8,2,3,0
0,114,1,56,13,1,3,8,3,3,0
0,115,1,57,13,1,4,8,4,3,0
0,116,1,58,14,1,1,8,1,3,1
0,117,1,59,14,1,2,8,2,3,1
0,118,1,60,14,1,3,8,3,3,1
0,119,1,61,14,1,4,8,4,3,1
0,120,1,63,15,2,1,8,5,3,0
0,121,1,64,15,2,2,8,6,3,0
0,122,1,65,15,2,3,8,7,3,0
0,123,1,66,15,2,4,8,8,3,0
0,124,1,67,16,2,1,8,5,3,1
0,125,1,68,16,2,2,8,6,3,1
0,126,1,69,16,2,3,8,7,3,1
0,127,1,70,16,2,4,8,8,3,1
0,128,2,0,1,1,1,9,1,4,0
0,129,2,1,1,1,2,9,2,4,0
0,130,2,2,1,1,3,9,3,4,0
0,131,2,3,1,1,4,9,4,4,0
0,132,2,4,2,1,1,9,1,4,1
0,133,2,5,2,1,2,9,2,4,1
0,134,2,6,2,1,3,9,3,4,1
0,135,2,7,2,1,4,9,4,4,1
0,136,2,9,3,2,1,9,5,4,0
0,137,2,10,3,2,2,9,6,4,0
0,138,2,11,3,2,3,9,7,4,0
0,139,2,12,3,2,4,9,8,4,0
0,140,2,13,4,2,1,9,5,4,1
0,141,2,14,4,2,2,9,6,4,1
0,142,2,15,4,2,3,9,7,4,1
0,143,2,16,4,2,4,9,8,4,1
0,144,2,18,5,1,1,10,1,4,0
0,145,2,19,5,1,2,10,2,4,0
0,146,2,20,5,1,3,10,3,4,0
0,147,2,21,5,1,4,10,4,4,0
0,148,2,22,6,1,1,10,1,4,1
0,149,2,23,6,1,2,10,2,4,1
0,150,2,24,6,1,3,10,3,4,1
0,151,2,25,6,1,4,10,4,4,1
0,152,2,27,7,2,1,10,5,4,0
0,153,2,28,7,2,2,10,6,4,0
0,154,2,29,7,2,3,10,7,4,0
0,155,2,30,7,2,4,10,8,4,0
0,156,2,31,8,2,1,10,5,4,1
0,157,2,32,8,2,2,10,6,4,1
0,158,2,33,8,2,3,10,7,4,1
0,159,2,34,8,2,4,10,8,4,1
0,160,2,36,9,3,1,10,9,5,0
0,161,2,37,9,3,2,10,10,5,0
0,162,2,38,9,3,3,10,11,5,0
0,163,2,39,9,3,4,10,12,5,0
0,164,2,40,10,3,1,10,9,5,1
0,165,2,41,10,3,2,10,10,5,1
0,166,2,42,10,3,3,10,11,5,1
0,167,2,43,10,3,4,10,12,5,1
0,168,2,45,11,1,1,11,1,5,0
0,169,2,46,11,1,2,11,2,5,0
0,170,2,47,11,1,3,11,3,5,0
0,171,2,48,11,1,4,11,4,5,0
0,172,2,49,12,1,1,11,1,5,1
0,173,2,50,12,1,2,11,2,5,1
0,174,2,51,12,1,3,11,3,5,1
0,175,2,52,12,1,4,11,4,5,1
0,176,2,54,13,2,1,11,5,5,0
0,177,2,55,13,2,2,11,6,5,0
0,178,2,56,13,2,3,11,7,5,0
0,179,2,57,13,2,4,11,8,5,0
0,180,2,58,14,2,1,11,5,5,1
0,181,2,59,14,2,2,11,6,5,1
0,182,2,60,14,2,3,11,7,5,1
0,183,2,61,14,2,4,11,8,5,1
0,184,2,63,15,3,1,11,9,5,0
0,185,2,64,15,3,2,11,10,5,0
0,186,2,65,15,3,3,11,11,5,0
0,187,2,66,15,3,4,11,12,5,0
0,188,2,67,16,3,1,11,9,5,1
0,189,2,68,16,3,2,11,10,5,1
0,190,2,69,16,3,3,11,11,5,1
0,191,2,70,16,3,4,11,12,5,1
1,192,0,0,1,1,1,12,1,0,0
1,193,0,1,1,1,2,12,2,0,0
1,194,0,2,1,1,3,12,3,0,0
1,195,0,3,1,1,4,12,4,0,0
1,196,0,4,2,1,1,12,1,0,1
1,197,0,5,2,1,2,12,2,0,1
1,198,0,6,2,1,3,12,3,0,1
1,199,0,7,2,1,4,12,4,0,1
1,200,0,9,3,2,1,12,5,0,0
1,201,0,10,3,2,2,12,6,0,0
1,202,0,11,3,2,3,12,7,0,0
1,203,0,12,3,2,4,12,8,0,0
1,204,0,13,4,2,1,12,5,0,1
1,205,0,14,4,2,2,12,6,0,1
1,206,0,15,4,2,3,12,7,0,1
1,207,0,16,4,2,4,12,8,0,1
1,208,0,18,5,3,1,12,9,0,0
1,209,0,19,5,3,2,12,10,0,0
1,210,0,20,5,3,3,12,11,0,0
1,211,0,21,5,3,4,12,12,0,0
1,212,0,22,6,3,1,12,9,0,1
1,213,0,23,6,3,2,12,10,0,1
1,214,0,24,6,3,3,12,11,0,1
1,215,0,25,6,3,4,12,12,0,1
1,216,0,27,7,1,1,13,1,0,0
1,217,0,28,7,1,2,13,2,0,0
1,218,0,29,7,1,3,13,3,0,0
1,219,0,30,7,1,4,13,4,0,0
1,220,0,31,8,1,1,13,1,0,1
1,221,0,32,8,1,2,13,2,0,1
1,222,0,33,8,1,3,13,3,0,1
1,223,0,34,8,1,4,13,4,0,1
1,224,0,36,9,2,1,13,5,1,0
1,225,0,37,9,2,2,13,6,1,0
1,226,0,38,9,2,3,13,7,1,0
1,227,0,39,9,2,4,13,8,1,0
1,228,0,40,10,2,1,13,5,1,1
1,229,0,41,10,2,2,13,6,1,1
1,230,0,42,10,2,3,13,7,1,1
1,231,0,43,10,2,4,13,8,1,1
1,232,0,45,11,3,1,13,9,1,0
1,233,0,46,11,3,2,13,10,1,0
1,234,0,47,11,3,3,13,11,1,0
1,235,0,48,11,3,4,13,12,1,0
1,236,0,49,12,3,1,13,9,1,1
1,237,0,50,12,3,2,13,10,1,1
1,238,0,51,12,3,3,13,11,1,1
1,239,0,52,12,3,4,13,12,1,1
1,240,0,54,13,1,1,14,1,1,0
1,241,0,55,13,1,2,14,2,1,0
1,242,0,56,13,1,3,14,3,1,0
1,243,0,57,13,1,4,14,4,1,0
1,244,0,58,14,1,1,14,1,1,1
1,245,0,59,14,1,2,14,2,1,1
1,246,0,60,14,1,3,14,3,1,1
1,247,0,61,14,1,4,14,4,1,1
1,248,0,63,15,2,1,14,5,1,0
1,249,0,64,15,2,2,14,6,1,0
1,250,0,65,15,2,3,14,7,1,0
1,251,0,66,15,2,4,14,8,1,0
1,252,0,67,16,2,1,14,5,1,1
1,253,0,68,16,2,2,14,6,1,1
1,254,0,69,16,2,3,14,7,1,1
1,255,0,70,16,2,4,14,8,1,1
1,256,1,0,1,3,1,14,9,2,0
1,257,1,1,1,3,2,14,10,2,0
1,258,1,2,1,3,3,14,11,2,0
1,259,1,3,1,3,4,14,12,2,0
1,260,1,4,2,3,1,14,9,2,1
1,261,1,5,2,3,2,14,10,2,1
1,262,1,6,2,3,3,14,11,2,1
1,263,1,7,2,3,4,14,12,2,1
1,264,1,9,3,1,1,15,1,2,0
1,265,1,10,3,1,2,15,2,2,0
1,266,1,11,3,1,3,15,3,2,0
1,267,1,12,3,1,4,15,4,2,0
1,268,1,13,4,1,1,15,1,2,1
1,269,1,14,4,1,2,15,2,2,1
1,270,1,15,4,1,3,15,3,2,1
1,271,1,16,4,1,4,15,4,2,1
1,272,1,18,5,2,1,15,5,2,0
1,273,1,19,5,2,2,15,6,2,0
1,274,1,20,5,2,3,15,7,2,0
1,275,1,21,5,2,4,15,8,2,0
1,276,1,22,6,2,1,15,5,2,1
1,277,1,23,6,2,2,15,6,2,1
1,278,1,24,6,2,3,15,7,2,1
1,279,1,25,6,2,4,15,8,2,1
1,280,1,27,7,3,1,15,9,2,0
1,281,1,28,7,3,2,15,10,2,0
1,282,1,29,7,3,3,15,11,2,0
1,283,1,30,7,3,4,15,12,2,0
1,284,1,31,8,3,1,15,9,2,1
1,285,1,32,8,3,2,15,10,2,1
1,286,1,33,8,3,3,15,11,2,1
1,287,1,34,8,3,4,15,12,2,1
1,288,1,36,9,1,1,16,1,3,0
1,289,1,37,9,1,2,16,2,3,0
1,290,1,38,9,1,3,16,3,3,0
1,291,1,39,9,1,4,16,4,3,0
1,292,1,40,10,1,1,16,1,3,1
1,293,1,41,10,1,2,16,2,3,1
1,294,1,42,10,1,3,16,3,3,1
1,295,1,43,10,1,4,16,4,3,1
1,296,1,45,11,2,1,16,5,3,0
1,297,1,46,11,2,2,16,6,3,0
1,298,1,47,11,2,3,16,7,3,0
1,299,1,48,11,2,4,16,8,3,0
1,300,1,49,12,2,1,16,5,3,1
1,301,1,50,12,2,2,16,6,3,1
1,302,1,51,12,2,3,16,7,3,1
1,303,1,52,12,2,4,16,8,3,1
1,304,1,54,13,3,1,16,9,3,0
1,305,1,55,13,3,2,16,10,3,0
1,306,1,56,13,3,3,16,11,3,0
1,307,1,57,13,3,4,16,12,3,0
1,308,1,58,14,3,1,16,9,3,1
1,309,1,59,14,3,2,16,10,3,1
1,310,1,60,14,3,3,16,11,3,1
1,311,1,61,14,3,4,16,12,3,1
1,312,1,63,15,1,1,17,1,3,0
1,313,1,64,15,1,2,17,2,3,0
1,314,1,65,15,1,3,17,3,3,0
1,315,1,66,15,1,4,17,4,3,0
1,316,1,67,16,1,1,17,1,3,1
1,317,1,68,16,1,2,17,2,3,1
1,318,1,69,16,1,3,17,3,3,1
1,319,1,70,16,1,4,17,4,3,1
1,320,2,0,1,2,1,17,5,4,0
1,321,2,1,1,2,2,17,6,4,0
1,322,2,2,1,2,3,17,7,4,0
1,323,2,3,1,2,4,17,8,4,0
1,324,2,4,2,2,1,17,5,4,1
1,325,2,5,2,2,2,17,6,4,1
1,326,2,6,2,2,3,17,7,4,1
1,327,2,7,2,2,4,17,8,4,1
1,328,2,9,3,3,1,17,9,4,0
1,329,2,10,3,3,2,17,10,4,0
1,330,2,11,3,3,3,17,11,4,0
1,331,2,12,3,3,4,17,12,4,0
1,332,2,13,4,3,1,17,9,4,1
1,333,2,14,4,3,2,17,10,4,1
1,334,2,15,4,3,3,17,11,4,1
1,335,2,16,4,3,4,17,12,4,1
1,336,2,18,5,1,1,18,1,4,0
1,337,2,19,5,1,2,18,2,4,0
1,338,2,20,5,1,3,18,3,4,0
1,339,2,21,5,1,4,18,4,4,0
1,340,2,22,6,1,1,18,1,4,1
1,341,2,23,6,1,2,18,2,4,1
1,342,2,24,6,1,3,18,3,4,1
1,343,2,25,6,1,4,18,4,4,1
1,344,2,27,7,2,1,18,5,4,0
1,345,2,28,7,2,2,18,6,4,0
1,346,2,29,7,2,3,18,7,4,0
1,347,2,30,7,2,4,18,8,4,0
1,348,2,31,8,2,1,18,5,4,1
1,349,2,32,8,2,2,18,6,4,1
1,350,2,33,8,2,3,18,7,4,1
1,351,2,34,8,2,4,18,8,4,1
1,352,2,36,9,3,1,18,9,5,0
1,353,2,37,9,3,2,18,10,5,0
1,354,2,38,9,3,3,18,11,5,0
1,355,2,39,9,3,4,18,12,5,0
1,356,2,40,10,3,1,18,9,5,1
1,357,2,41,10,3,2,18,10,5,1
1,358,2,42,10,3,3,18,11,5,1
1,359,2,43,10,3,4,18,12,5,1
1,360,2,45,11,1,1,19,1,5,0
1,361,2,46,11,1,2,19,2,5,0
1,362,2,47,11,1,3,19,3,5,0
1,363,2,48,11,1,4,19,4,5,0
1,364,2,49,12,1,1,19,1,5,1
1,365,2,50,12,1,2,19,2,5,1
1,366,2,51,12,1,3,19,3,5,1
1,367,2,52,12,1,4,19,4,5,1
1,368,2,54,13,2,1,19,5,5,0
1,369,2,55,13,2,2,19,6,5,0
1,370,2,56,13,2,3,19,7,5,0
1,371,2,57,13,2,4,19,8,5,0
1,372,2,58,14,2,1,19,5,5,1
1,373,2,59,14,2,2,19,6,5,1
1,374,2,60,14,2,3,19,7,5,1
1,375,2,61,14,2,4,19,8,5,1
1,376,2,63,15,3,1,19,9,5,0
1,377,2,64,15,3,2,19,10,5,0
1,378,2,65,15,3,3,19,11,5,0
1,379,2,66,15,3,4,19,12,5,0
1,380,2,67,16,3,1,19,9,5,1
1,381,2,68,16,3,2,19,10,5,1
1,382,2,69,16,3,3,19,11,5,1
1,383,2,70,16,3,4,19,12,5,1
